DATE,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed,HourlyDryBulbTemperature,HourlyStationPressure
2019-01-01T00:19:00,T,-RA:02 BR:1 |RA |RA,,93,,BKN:07 6 OVC:08 20,28.93,4,190,7,66,28.93
2019-01-01T00:36:00,0.02,RA:02 BR:1 |RA |RA,,90,,BKN:07 6 OVC:08 20,28.94,2.5,290,9,66,28.94
2019-01-01T00:43:00,0.06,-RA:02 BR:1 |RA |RA,,93,,CT:04 6 BKN:07 15 OVC:08 30,28.94,5,290,6,66,28.94
2019-01-01T00:52:00,0.11,-RA:02 BR:1 |RA |RA,-0.01,93,30.02,FEW:02 6 BKN:07 15 OVC:08 35,28.94,5,240,5,66,28.94
2019-01-01T01:00:00,,||RA,-0.01,93,30.02,5,28.93,4.97,240,5,66,28.93
2019-01-01T01:33:00,0.04,BR:1 ||,,93,,BKN:07 5 BKN:07 13 OVC:08 35,28.94,6,210,5,66,28.94
2019-01-01T01:52:00,T,-RA:02 BR:1 |RA |RA,,93,30.02,BKN:07 5 OVC:08 13,28.94,5,220,5,66,28.94
2019-01-01T02:50:00,,BR:1 ||,,100,,BKN:07 5 OVC:08 13,28.94,2.5,0,0,64,28.94
2019-01-01T02:52:00,0.02,BR:1 ||,,93,30.03,BKN:07 5 OVC:08 13,28.94,4,0,0,65,28.94
2019-01-01T03:19:00,T,-RA:02 BR:1 |RA |RA,,93,,BKN:07 4 OVC:08 8,28.94,4,360,5,65,28.94
2019-01-01T03:52:00,0.01,BR:1 ||,0,93,30.02,CT:04 4 BKN:07 11 OVC:08 18,28.94,4,330,3,64,28.94
2019-01-01T03:55:00,,BR:1 ||,,93,,BKN:07 4 BKN:07 11 OVC:08 18,28.94,5,320,3,64,28.94
2019-01-01T04:30:00,T,BR:1 ||,,93,,BKN:07 3 OVC:08 7,28.95,1,340,6,64,28.95
2019-01-01T04:52:00,T,BR:1 ||,,93,30.03,BKN:07 4 BKN:07 9 OVC:08 15,28.95,1,350,3,64,28.95
2019-01-01T04:59:00,,BR:1 ||,,97,,FEW:02 2 BKN:07 9 BKN:07 15,28.95,6,330,5,63,28.95
2019-01-01T05:08:00,,,,93,,CT:04 4 OVC:08 11,28.96,8,330,7,63,28.96
2019-01-01T05:21:00,,,,93,,FEW:02 4 BKN:07 9 OVC:08 20,28.96,8,340,6,63,28.96
2019-01-01T05:49:00,,,,94,,FEW:02 5 BKN:07 18 OVC:08 90,28.97,9,320,7,63,28.97
2019-01-01T05:52:00,0,,,90,30.05,FEW:02 5 BKN:07 18 OVC:08 90,28.97,9,320,6,63,28.97
2019-01-01T06:23:00,,,,93,,FEW:02 5 CT:04 18 CT:04 90,28.97,10,330,7,62,28.97
2019-01-01T06:52:00,0,,-0.04,93,30.06,FEW:02 5 CT:04 22 CT:04 90,28.98,8,320,5,61,28.98
2019-01-01T07:00:00,,,-0.04,93,30.06,5,28.97,7.46,320,5,61,28.97
2019-01-01T07:52:00,0,,,90,30.09,CT:04 8 CT:04 20 CT:04 55,29,7,0,0,61,29
2019-01-01T08:28:00,,,,93,,CT:04 6 CT:04 20 BKN:07 55,29.02,6,320,3,61,29.02
2019-01-01T08:52:00,0,,,90,30.11,FEW:02 6 CT:04 55 BKN:07 95,29.02,8,320,5,62,29.02
